AIRPORT,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
ADW,Andrews AFB,38.81083333,-76.86722222
ADW,Andrews AFB,38.81083333,-76.86694444
ADW,Joint Base Andrews,38.81083333,-76.86694444
ADW,Andrews AFB,38.81083333,-76.86694444
ADW,Joint Base Andrews,38.81083333,-76.86694444
ADX,RAF Leuchars,56.37277778,-2.86833333
ADX,RAF Leuchars,56.37277778,-2.86861111
ADX,RAF Leuchars,56.37416667,-2.86861111
ADX,RAF Leuchars,56.37277778,-2.86833333
ADX,RAF Leuchars,56.37416667,-2.86861111
ADZ,San Andres,12.58333333,-81.7
ADZ,Sesquicentenario,12.58305556,-81.71166667
ADZ,Gustavo Rojas Pinilla,12.58361111,-81.71138889
ADZ,Gustavo Rojas Pinilla,12.58361111,-81.71111111
DHF,Al Dhafra Air Base,24.24833333,54.54777778
AED,Aleneva Airport,58.03333333,-152.9
AEG,Aek Godang,1.4,99.43055556
AEH,Abeche Airport,13.85138889,20.85083333
AEH,Abeche Airport,13.84694444,20.84361111
AEH,Abeche Airport,13.8475,20.84333333
AEO,Aioun El Atrouss Airport,16.70916667,-9.63555556
AEO,Aioun El Atrouss Airport,16.71138889,-9.63777778
AEP,Aeroparque Jorge Newbery,-34.55888889,-58.41583333
AEP,Aeroparque Jorge Newbery,-34.55916667,-58.41583333
AEP,Aeroparque Jorge Newbery,-34.55888889,-58.41611111
AER,Adler/Sochi Airport,43.45,39.93333333
AER,Adler/Sochi Airport,43.45,39.93333333
AES,Vigra,62.5625,6.10527778
AES,Vigra,62.56111111,6.11416667
AES,Vigra,62.56027778,6.11027778
AES,Alesund,62.56027778,6.11027778
AET,Allakaket Airport,66.56166667,-152.65833333
AET,Allakaket Airport,66.55194444,-152.62222222
AEX,England AFB,31.32416667,-92.54694444
AEX,Alexandria International,31.3275,-92.54861111
AEX,Alexandria International,31.32333333,-92.54694444
AEY,Akureyri Airport,65.65694444,-18.07222222
AEY,Akureyri Airport,65.66,-18.07277778
AEY,Akureyri Airport,65.65666667,-18.07194444
AEY,Akureyri Airport,65.66,-18.07277778
AEY,Akureyri Airport,65.65666667,-18.07194444
AFA,San Rafael Airport,-34.58916667,-68.40055556
AFA,San Rafael Airport,-34.58777778,-68.40333333
AFA,San Rafael Airport,-34.58861111,-68.40277778
AFA,San Rafael Airport,-34.58777778,-68.40361111
AFA,San Rafael Airport,-34.58777778,-68.40333333
AFA,San Rafael Airport,-34.58777778,-68.40361111
AFA,San Rafael Airport,-34.58777778,-68.40333333
AFF,USAF Academy Airfield,38.96972222,-104.8125
AFF,USAF Academy Airfield,38.96972222,-104.81277778
AFF,USAF Academy Airfield,38.97416667,-104.81777778
AFF,USAF Academy Airfield,38.96972222,-104.81277778
AFF,USAF Academy Airfield,38.97416667,-104.81777778
AFF,USAF Academy Davis Airfield,38.97361111,-104.81972222
AFK,Nebraska City Municipal,40.60694444,-95.86583333
AFK,Nebraska City Municipal,40.60555556,-95.86777778
AFK,Nebraska City Municipal,40.60638889,-95.86666667
AFK,Nebraska City Municipal,40.60666667,-95.86666667
AFK,Nebraska City Municipal,40.60555556,-95.86777778
AFK,Nebraska City Municipal,40.60666667,-95.86666667
AFO,Afton Municipal,42.71666667,-110.93333333
AFO,Afton Municipal,42.70888889,-110.94222222
AFO,Afton Lincoln County Gen Boyd L Eddins Field,42.70888889,-110.94222222
AFP,Anson County,35.02388889,-80.08138889
AFP,Anson County,35.02055556,-80.07722222
AFP,Anson County Jeff Cloud Field,35.02055556,-80.07722222
AFP,Anson County,35.02055556,-80.07722222
AFP,Anson County Jeff Cloud Field,35.02055556,-80.07722222
AFW,Fort Worth Alliance,32.98666667,-97.3175
AFW,Fort Worth Alliance,32.98777778,-97.31888889
AFW,Fort Worth Alliance,32.9875,-97.31888889
AFW,Fort Worth Alliance,32.98944444,-97.31944444
AFW,Fort Worth Alliance,32.98777778,-97.31888889
AFW,Fort Worth Alliance,32.98944444,-97.31944444
AFW,Fort Worth Alliance,32.99027778,-97.31944444
AFW,Perot Field Fort Worth Alliance,32.99027778,-97.31944444
AFY,Afyon Airport,38.735,30.59555556
AFY,Afyon Airport,38.72638889,30.60111111
AGA,Agadir/Inezgane,30.38055556,-9.54583333
AGA,Inezgane,30.38138889,-9.54611111
AGB,Muehlhausen,48.42611111,10.93305556
AGB,Augsburg Airport,48.42444444,10.93222222
AGB,Augsburg Airport,48.42527778,10.93194444
AGC,Allegheny County,40.35472222,-79.93
AGC,Allegheny County,40.35472222,-79.93
AGC,Allegheny County,40.35444444,-79.93027778
AGC,Allegheny County,40.35444444,-79.92916667
AGC,Allegheny County,40.35444444,-79.93027778
AGC,Allegheny County,40.35444444,-79.92916667
AGC,Allegheny County,40.35416667,-79.9275
AGF,La Garenne,44.17361111,0.59861111
AGF,La Garenne,44.17388889,0.59305556
AGF,Agen La Garenne,44.17388889,0.59305556
AGF,Agen La Garenne,44.17472222,0.59055556
AGF,La Garenne,44.17388889,0.59305556
AGF,Agen La Garenne,44.17472222,0.59055556
AGF,Agen La Garenne,44.17388889,0.59305556
AGG,Angoram Airport,-4.06583333,144.07388889
AGH,Angelholm-Helsingborg,56.29305556,12.8625
AGH,Angelholm-Helsingborg,56.29583333,12.84972222
AGH,Angelholm,56.29166667,12.855
AGH,Angelholm,56.29111111,12.855
AGH,Angelholm,56.29166667,12.855
AGH,Angelholm,56.29111111,12.855
AGH,Angelholm,56.29138889,12.855
AGK,Kagua Airport,-6.40333333,143.84666667
AGL,Wanigela Airport,-9.34027778,149.15527778
AGL,Wanigela Airport,-9.3375,149.15555556
AGN,Angoon Seaplane Base,57.50388889,-134.58333333
AGP,Malaga Airport,36.67166667,-4.49805556
AGP,Malaga Airport,36.675,-4.49916667
AGP,Malaga Airport,36.67972222,-4.49583333
AGP,Malaga Airport,36.68,-4.49583333
AGP,Malaga Costa del Sol,36.68,-4.49583333
AGP,Malaga Airport,36.675,-4.49916667
AGP,Malaga Costa del Sol,36.68,-4.49583333
AGP,Malaga Airport,36.67972222,-4.49583333
AGQ,Agrinion New,38.60416667,21.35194444
AGQ,Agrinion Airport,38.60194444,21.35111111
AGQ,Agrinion Airport,38.6025,21.3425
AGR,Agra Airport,27.15833333,77.96277778
AGR,Agra Airport,27.15777778,77.96083333
AGS,Bush Field,33.36916667,-81.96444444
AGS,Augusta Regional at Bush Field,33.36916667,-81.96444444
AGS,Augusta Regional at Bush Field,33.37,-81.96444444
AGT,Guarani International,-25.45555556,-54.84361111
AGU,Jesus Teran International,21.70555556,-102.31777778
AGU,Jesus Teran International,21.70083333,-102.31805556
AGU,Jesus Teran International,21.70555556,-102.31777778
AGU,Aguascalientes International,21.70555556,-102.31777778
AGU,Aguascalientes International,21.70111111,-102.31805556
AGV,Oswaldo Guevara Mujica,9.55222222,-69.23333333
AGV,Oswaldo Guevara Mujica,9.55333333,-69.2375
AGV,Batalla de Araure,9.55333333,-69.2375
AGX,Agatti Island Airport,10.83333333,72.2
AHA,Naha AB,26.19194444,127.64777778
AHB,Abha Airport,18.23861111,42.655
AHB,Abha Airport,18.24027778,42.65666667
AHB,Abha Airport,18.24027778,42.65638889
AHB,Abha Airport,18.24027778,42.65666667
AHB,Abha Airport,18.24027778,42.65638889
AHD,Ardmore Airport,34.14694444,-97.12277778
AHD,Ardmore Downtown Executive,34.14694444,-97.12277778
AHN,Athens Municipal,33.94833333,-83.32694444
AHN,Athens/Ben Epps,33.94861111,-83.32638889
AHN,Athens/Ben Epps,33.94861111,-83.32583333
AHN,Athens/Ben Epps,33.94861111,-83.32638889
AHN,Athens/Ben Epps,33.94861111,-83.32583333
AHO,Alghero,40.63055556,8.28888889
AHO,Alghero,40.63222222,8.29083333
AHO,Alghero Fertilia,40.63222222,8.29083333
AHO,Alghero,40.63222222,8.29083333
AHO,Alghero Fertilia,40.63222222,8.29083333
AHO,Alghero,40.63222222,8.29083333
AHS,Ahuas Airport,15.47277778,-84.35138889
AHS,Ahuas Airport,15.47277778,-84.35305556
AHS,Auas,15.47277778,-84.35305556
AHS,Ahuas Airport,15.47277778,-84.35305556
AHS,Auas,15.47277778,-84.35305556
AHT,Amchitka,51.37861111,179.25861111
AHU,Cherif El Idrissi International,35.17972222,-3.83694444
AHU,Cherif El Idrissi International,35.17722222,-3.83944444
AHU,Cherif El Idrissi International,35.175,-3.83916667
AIA,Alliance Municipal,42.05166667,-102.80666667
AIA,Alliance Municipal,42.05333333,-102.80388889
AIA,Alliance Municipal,42.05333333,-102.80361111
AIA,Alliance Municipal,42.05333333,-102.80388889
AIA,Alliance Municipal,42.05333333,-102.80361111
AIA,Alliance Municipal,42.05361111,-102.80333333
AIB,Anita Bay Airport,56.19,-132.44583333
AID,Anderson Municipal-Darlington Field,40.10861111,-85.61305556
AID,Anderson Municipal-Darlington Field,40.10861111,-85.61305556
AID,Anderson Regional,40.10861111,-85.61305556
AIK,Aiken Municipal,33.65,-81.68472222
AIK,Aiken Municipal,33.64944444,-81.685
AIK,Aiken Regional,33.64944444,-81.685
AIN,Wainwright Airport,70.63055556,-160.04305556
AIN,Wainwright Airport,70.63805556,-159.99472222
AIT,Aitutaki Airport,-18.85,-159.75
AIT,Aitutaki Airport,-18.83722222,-159.76111111
AIT,Aitutaki Airport,-18.8375,-159.76111111
AIT,Aitutaki Airport,-18.83694444,-159.76083333
AIT,Aitutaki Airport,-18.83722222,-159.76111111
AIT,Aitutaki Airport,-18.83694444,-159.76083333
AIT,Aitutaki Airport,-18.83694444,-159.76111111
AIY,Bader Field,39.36,-74.46
AIY,Bader Field,39.36,-74.45722222
AIZ,Lee C Fine Memorial,38.09833333,-92.54722222
AIZ,Lee C Fine Memorial,38.09611111,-92.54944444
AJA,Ajaccio/Campo Dell Oro,41.92416667,8.80305556
AJA,Napoleon Bonaparte,41.92166667,8.80111111
AJA,Ajaccio Napoleon Bonaparte,41.92166667,8.80111111
AJA,Ajaccio Napoleon Bonaparte,41.92388889,8.8025
AJA,Napoleon Bonaparte,41.92166667,8.80111111
AJA,Ajaccio Napoleon Bonaparte,41.92388889,8.8025
AJA,Ajaccio Napoleon Bonaparte,41.92166667,8.80111111
AJF,Al Jouf,29.8,40.06666667
AJF,Al Jouf,29.785,40.1
AJJ,Akjoujt Airport,19.73055556,-14.37444444
AJJ,Akjoujt Airport,19.72805556,-14.38527778
AJL,Lengpui,23.84055556,92.61972222
AJL,Lengpui,23.84111111,92.61972222
AJN,Ouani,-12.12638889,44.42972222
