id,code,dispName,lat,long
10272,ALS,San Luis Valley Regional/Bergman Field,37.435,-105.86777778
10275,ALW,Walla Walla Regional,46.0925,-118.28416667
10276,ALX,Thomas C. Russell Field,32.91472222,-85.96305556
10278,ALZ,Alitak Seaplane Base,56.89583333,-154.24583333
10279,AMA,Rick Husband Amarillo International,35.23166667,-101.69916667
10285,AMK,Animas Air Park,37.20305556,-107.86916667
10288,AMN,Gratiot Community,43.32222222,-84.68805556
10294,AMW,Ames Municipal,41.99194444,-93.62194444
10297,ANA,Anaheim-Disneyland HP,33.81666667,-117.93333333
10298,ANB,Anniston Regional,33.58805556,-85.85805556
10299,ANC,Ted Stevens Anchorage International,61.17416667,-149.99805556
10300,AND,Anderson Regional,34.49472222,-82.70944444
10304,ANI,Aniak Airport,61.58138889,-159.54527778
10307,ANN,Annette Island,55.04222222,-131.57083333
10309,ANP,Lee,38.94277778,-76.56833333
10313,ANV,Anvik Airport,62.64722222,-160.19
10317,AOH,Lima Allen County,40.70694444,-84.02833333
10322,AOO,Altoona-Blair County,40.29638889,-78.32
10324,AOS,Amook Bay Airport,57.45472222,-153.81305556
10325,APA,Centennial,39.57,-104.84805556
10327,APC,Napa County,38.21305556,-122.28055556
10329,APF,Naples Municipal,26.1525,-81.77555556
10330,APG,Phillips AAF,39.46555556,-76.16833333
10333,APN,Alpena County Regional,45.07805556,-83.56027778
10336,APT,Marion County Brown Field,35.06055556,-85.58527778
10337,APV,Apple Valley Airport,34.57527778,-117.18611111
10344,AQY,Girdwood Airport,60.96888889,-149.11944444
10345,AR1,Russellville Regional,35.25916667,-93.0925
10346,AR2,Dennis F Cantrell Field,35.08111111,-92.42444444
10347,ARA,Acadiana Regional,30.03777778,-91.88388889
10348,ARB,Ann Arbor Municipal,42.22305556,-83.74583333
10349,ARC,Arctic Village Airport,68.11472222,-145.57944444
10351,ARE,Antonio/Nery/Juarbe Pol,18.45083333,-66.67555556
10352,ARG,Walnut Ridge Regional,36.12472222,-90.925
10361,ART,Watertown International,43.99194444,-76.01944444
10363,ARV,Lakeland/Noble F. Lee Memorial Field,45.92805556,-89.73083333
10365,ARX,Asbury Park/Monmouth County,40.18333333,-74.11666667
10372,ASE,Aspen Pitkin County Sardy Field,39.22194444,-106.86833333
10374,ASH,Boire Field,42.7825,-71.51416667
10378,ASL,Harrison County,32.52055556,-94.30777778
10380,ASN,Talladega Municipal,33.56944444,-86.05111111
10383,ASQ,Austin Airport,39.46805556,-117.1975
10385,AST,Astoria Regional,46.15805556,-123.87861111
10388,ASX,John F Kennedy Memorial,46.54861111,-90.91888889
10389,ASY,Ashley Municipal,46.02305556,-99.35277778
10393,ATE,Antlers Municipal,34.1925,-95.65
10396,ATK,Atqasuk Edward Burnell Sr. Memorial,70.46722222,-157.43555556
10397,ATL,Hartsfield-Jackson Atlanta International,33.63666667,-84.42805556
10400,ATO,Ohio University,39.21194444,-82.22916667
10404,ATS,Artesia Municipal,32.85194444,-104.4675
10405,ATT,Atmautluak Airport,60.86777778,-162.27416667
10406,ATU,Casco Cove CGS,52.8325,173.17555556
10408,ATW,Appleton International,44.25805556,-88.51916667
10409,ATY,Watertown Regional,44.91388889,-97.15472222
10414,AUG,Augusta State,44.31777778,-69.79666667
10416,AUK,Alakanuk Airport,62.68305556,-164.72222222
10417,AUM,Austin Municipal,43.66277778,-92.93305556
10418,AUN,Auburn Municipal,38.95472222,-121.08166667
10419,AUO,Auburn University Regional,32.61916667,-85.43611111
10423,AUS,Austin - Bergstrom International,30.19444444,-97.67
10424,AUW,Wausau Downtown,44.92638889,-89.62694444
10427,AUZ,Aurora Municipal,41.77194444,-88.47527778
10431,AVL,Asheville Regional,35.43611111,-82.54194444
10433,AVO,Avon Park Executive,27.59138889,-81.52888889
10434,AVP,Wilkes Barre Scranton International,41.34027778,-75.72166667
10436,AVW,Marana Regional,32.40944444,-111.21833333
10437,AVX,Catalina,33.405,-118.41583333
10439,AWK,Wake Island Airfield,19.2825,166.63666667
10440,AWM,West Memphis Municipal,35.135,-90.23444444
10442,AWX,Andrews County,32.33083333,-102.52972222
10445,AXB,Maxson Airfield,44.31666667,-75.89972222
10449,AXN,Alexandria Regional Chandler Field,45.86638889,-95.39472222
10451,AXS,Altus/Quartz Mountain Regional,34.69888889,-99.33833333
10454,AXV,Neil Armstrong,40.49361111,-84.29805556
10455,AXX,Angel Fire,36.42194444,-105.29
10460,AYS,Waycross-Ware County,31.24833333,-82.39527778
10463,AZ1,Valle,35.65055556,-112.14805556
10464,AZ2,H. A. Clark Memorial Field,35.30555556,-112.19444444
10465,AZ3,Glendale Regional,33.52694444,-112.29527778
10466,AZA,Mesa Gateway,33.30777778,-111.65527778
10469,AZO,Kalamazoo/Battle Creek International,42.23583333,-85.55388889
10471,B19,Biddeford Municipal,43.46416667,-70.4725
10472,B21,Sugarloaf Regional,45.08527778,-70.21638889
10474,BAB,Beale AFB,39.13611111,-121.43666667
10476,BAD,Barksdale AFB,32.50194444,-93.6625
10478,BAF,Westfield Barnes Regional,42.15805556,-72.71583333
10484,BAM,Battle Mountain Airport,40.59972222,-116.87611111
10487,BAR,Baker AAF,55.36666667,-133.6
10494,BBC,Bay City Regional,28.97333333,-95.86333333
10495,BBF,N Eng Heliport,42.50833333,-71.18333333
10504,BBX,Wings Field,40.1375,-75.26527778
10508,BCB,Virginia Tech Montgomery Exec,37.20944444,-80.41222222
10509,BCC,Bear Creek Airport,57.6175,-155.86722222
10511,BCE,Bryce Canyon Airport,37.70638889,-112.14583333
10514,BCJ,Baca Grande,37.96666667,-105.76666667
10518,BCS,Southern Seaplane,29.86611111,-90.02222222
10519,BCT,Boca Raton Public,26.37083333,-80.10833333
10523,BDE,Baudette International,48.73027778,-94.61111111
10524,BDG,Blanding Municipal,37.58333333,-109.48333333
10529,BDL,Bradley International,41.93916667,-72.68444444
10535,BDR,Bridgeport Sikorsky,41.16361111,-73.12611111
10538,BDY,Bandon State,43.08638889,-124.40777778
10540,BED,Laurence G Hanscom Field,42.47083333,-71.28944444
10543,BEH,Southwest Michigan Regional,42.12833333,-86.425
10551,BET,Bethel Airport,60.77861111,-161.83722222
10556,BFB,Blue Fox Bay Airport,58.18333333,-152.13333333
10557,BFD,Bradford Regional,41.80305556,-78.64
10558,BFF,Scottsbluff W Neb Regional Wm B Heilig Field,41.87416667,-103.59555556
10559,BFI,Boeing Field/King County International,47.53,-122.30194444
10560,BFK,Buckley Sfb,39.70166667,-104.75166667
10561,BFL,Meadows Field,35.43361111,-119.0575
10562,BFM,Mobile International,30.61916667,-88.06583333
10565,BFP,Beaver County,40.7725,-80.39138889
10567,BFR,Virgil I Grissom Municipal,38.84,-86.44527778
10569,BFT,Beaufort Executive,32.41222222,-80.63444444
10572,BGD,Hutchinson County,35.70083333,-101.39361111
10573,BGE,Decatur County Industrial Air Park,30.97166667,-84.63694444
10577,BGM,Greater Binghamton/Edwin A. Link Field,42.20833333,-75.97972222
10580,BGQ,Big Lake Airport,61.53472222,-149.8125
10581,BGR,Bangor International,44.8075,-68.82805556
10582,BGS,Big Spring McMahon-Wrinkle,32.2125,-101.52166667
10583,BGT,Bagdad Airport,34.59277778,-113.17194444
10589,BHB,Hancock County-Bar Harbor,44.45222222,-68.36194444
10590,IFP,Laughlin/Bullhead International,35.15472222,-114.55944444
10599,BHM,Birmingham-Shuttlesworth International,33.56388889,-86.75222222
10612,BIC,Big Creek Airport,57.66666667,-157.58333333
10613,BID,Block Island State,41.16805556,-71.57777778
10614,BIE,Beatrice Municipal,40.30138889,-96.75416667
10615,BIF,Biggs AAF,31.84944444,-106.38
10616,BIG,Allen AAF,63.99527778,-145.72027778
10617,BIH,Bishop Airport,37.37305556,-118.36361111
10620,BIL,Billings Logan International,45.80777778,-108.54361111
10627,BIS,Bismarck Municipal,46.76861111,-100.74138889
10629,BIX,Keesler AFB,30.41055556,-88.92444444
10630,BJC,Rocky Mountain Metro,39.90888889,-105.11694444
10631,BJI,Bemidji Regional,47.51083333,-94.93472222
10632,BJJ,Wayne County,40.87472222,-81.88833333
10640,BKC,Buckland Airport,65.98166667,-161.14916667
10641,BKE,Baker City Municipal,44.83722222,-117.80916667
10642,BKF,Brooks Lake Airport,58.6,-156.23333333
10643,BKG,Branson Airport,36.53194444,-93.20055556
10644,BKH,Barking Sands PMRF,22.02277778,-159.785
10647,BKL,Burke Lakefront,41.51777778,-81.68277778
10654,BKW,Raleigh County Memorial,37.78722222,-81.12416667
10655,BKX,Brookings Regional,44.30444444,-96.81888889
10661,BLD,Boulder City Municipal,35.94722222,-114.86111111
10663,BLF,Mercer County,37.29583333,-81.2075
10665,BLH,Blythe Airport,33.61944444,-114.71694444
10666,BLI,Bellingham International,48.79277778,-122.5375
10670,BLM,Monmouth Executive,40.18666667,-74.12444444
10676,BLV,Scott AFB MidAmerica St Louis,38.54527778,-89.83527778
10680,BMC,Brigham City Regional,41.55444444,-112.06222222
10683,BMG,Monroe County,39.14111111,-86.615
10685,BMI,Central Il Regional Airport at Bloomington,40.47777778,-88.91027778
10687,BML,Berlin Regional,44.57527778,-71.17583333
10692,BMX,Big Mountain AFS,59.36222222,-155.25972222
10693,BNA,Nashville International,36.12388889,-86.67777778
10697,BNF,Warm Spring Bay Seaplane Base,57.08916667,-134.83138889
10698,BNG,Banning Municipal,33.9225,-116.85083333
10701,BNL,Barnwell Regional,33.25777778,-81.38833333
10703,BNO,Burns Municipal,43.59194444,-118.95555556
10713,BOI,Boise Air Terminal,43.56444444,-116.22277778
10715,BOK,Brookings Airport,42.07388889,-124.28972222
10721,BOS,Logan International,42.36305556,-71.00694444
10722,BOW,Bartow Executive,27.94333333,-81.78333333
10728,BPT,Jack Brooks Regional,29.95333333,-94.02416667
10731,BQK,Brunswick Golden Isles,31.25916667,-81.46638889
10732,BQN,Rafael Hernandez,18.49472222,-67.12944444
10735,BQV,Bartlett Cove Seaplane Base,58.45527778,-135.88527778
10739,BRD,Brainerd Lakes Regional,46.40416667,-94.13361111
10741,BRG,Whitesburg Municipal,37.11666667,-82.81666667
10744,BRL,Southeast Iowa Regional,40.78305556,-91.12555556
10747,BRO,Brownsville South Padre Island International,25.91083333,-97.42916667
10754,BRW,Wiley Post/Will Rogers Memorial,71.28472222,-156.76861111
10756,BRY,Samuels Field,37.81444444,-85.49972222
10763,BSM,Bergstrom AFB,30.19472222,-97.67666667
10765,BSQ,Bisbee Municipal,31.36388889,-109.88305556
10769,BSW,Boswell Bay Airport,60.42305556,-146.14583333
10770,A2K,Bartletts Airport,58.23305556,-157.36638889
10775,BTI,Barter Island Airport,70.11305556,-143.65361111
10778,BTL,Battle Creek Executive at Kellogg Field,42.30666667,-85.26527778
10779,BTM,Bert Mooney,45.95111111,-112.49555556
10780,BTP,Pittsburgh Butler Regional,40.77666667,-79.95111111
10781,BTR,Baton Rouge Metropolitan/Ryan Field,30.53305556,-91.15
10783,BTT,Bettles Airport,66.91388889,-151.52916667
10785,BTV,Patrick Leahy Burlington International,44.47194444,-73.15333333
10786,BTY,Beatty Airport,36.86111111,-116.78638889
10792,BUF,Buffalo Niagara International,42.94055556,-78.73055556
10796,BUM,Butler Memorial,38.28972222,-94.34027778
10800,BUR,Bob Hope,34.20055556,-118.35861111
10809,BVD,Beaver Inlet Seaport,53.8325,-166.3025
10811,BVO,Bartlesville Municipal,36.76333333,-96.01111111
10812,BVR,Beaver Island,45.69222222,-85.56666667
10814,BVX,Batesville Regional,35.72611111,-91.6475
10815,BVY,Beverly Regional,42.58416667,-70.91611111
10817,BWD,Brownwood Regional,31.79361111,-98.95638889
10819,BWG,Bowling Green-Warren County Regional,36.96444444,-86.41972222
10821,BWI,Baltimore/Washington International Thurgood Marshall,39.17583333,-76.66888889
10823,BWM,Bowman Municipal,46.18694444,-103.42805556
10825,BWS,Blaine Municipal,48.99,-122.7325
10828,BXC,Sheraton Inn Heliport,42.48472222,-71.54444444
10832,BXS,Borrego Valley,33.25916667,-116.32083333
10834,BYA,Boundary Airport,64.07833333,-141.11333333
10836,RKH,Rock Hill/York County/Bryant Field,34.98777778,-81.05722222
10837,BYG,Johnson County,44.38111111,-106.72194444
10838,BYH,Arkansas International,35.96444444,-89.94388889
10839,BYI,Burley Municipal,42.5425,-113.77166667
10841,MI5,Boyne Mountain,45.16583333,-84.92416667
10844,BYW,Blakely Island Airport,48.57888889,-122.82638889
10849,BZN,Bozeman Yellowstone International,45.77722222,-111.15027778
10852,BZS,Buzzards Point Seaplane Base,38.86333333,-77.01333333
10853,BZT,Eagle Air Park,28.98222222,-95.57972222
10857,C01,Camarillo Airport,34.21388889,-119.09444444
10858,C02,Bakersfield Municipal,35.325,-118.99611111
10867,CAD,Wexford County,44.27527778,-85.41888889
10868,CAE,Columbia Metropolitan,33.93888889,-81.11944444
10874,CAK,Akron-Canton Regional,40.91666667,-81.44083333
10879,CAR,Caribou Municipal,46.87166667,-68.01805556
10886,CBA,Corner Bay Airport,57.73777778,-135.12555556
10888,CBE,Greater Cumberland Regional,39.61305556,-78.76277778
10889,CBF,Council Bluffs Municipal,41.26,-95.75861111
10892,CBK,Murray,39.40388889,-101.04666667
10894,CBM,Columbus AFB,33.64555556,-88.44666667
10910,CCR,Buchanan Field,37.98972222,-122.05694444
10915,CCY,Northeast Iowa Regional,43.0725,-92.61083333
10917,CDB,Cold Bay Airport,55.20583333,-162.72611111
10918,CDC,Cedar City Regional,37.70194444,-113.09805556
10921,CDH,Harrell Field,33.62277778,-92.76333333
10923,CDL,Candle 2,65.90777778,-161.92638889
10924,CDN,Woodward Field,34.28361111,-80.56472222
10925,CDR,Chadron Municipal,42.8375,-103.09527778
10926,CDV,Merle K Mudhole Smith,60.49166667,-145.4775
10927,CDW,Essex County,40.87527778,-74.28138889
10928,CEA,Cessna Aircraft Field,37.64861111,-97.25055556
10930,CEC,Jack McNamara Field,41.78027778,-124.23666667
10933,CEF,Westover ARB Metropolitan,42.19388889,-72.53472222
10938,CEM,Central Airport,65.57388889,-144.78083333
10945,CEU,Oconee County Regional,34.67222222,-82.88583333
10946,CEV,Mettel Field,39.69805556,-85.13111111
10947,CEW,Bob Sikes,30.77888889,-86.52222222
10948,CEX,Chena Hot Springs Airport,65.05194444,-146.0475
10949,CEY,Kyle-Oakley Field,36.66444444,-88.37277778
10950,CEZ,Cortez Municipal,37.30305556,-108.62805556
10951,CFA,Coffee Point Airport,58.21666667,-157.5
10958,CFT,Greenlee County,32.95694444,-109.21111111
10960,CFV,Coffeyville Municipal,37.09388889,-95.57194444
10961,CGA,Craig Seaplane Base,55.47916667,-133.14611111
10964,CGE,Cambridge Dorchester Regional,38.53944444,-76.03027778
10965,CGF,Cuyahoga County,41.56444444,-81.48722222
10967,CGI,Cape Girardeau Regional,37.225,-89.57083333
10975,CGS,College Park Airport,38.98055556,-76.92222222
10977,CGX,Meigs Field,41.85888889,-87.60833333
10979,CGZ,Casa Grande Municipal,32.955,-111.76694444
10980,CHA,Lovell Field,35.03777778,-85.20194444
10982,CHD,Chandler Municipal,33.26916667,-111.81111111
10986,CHI,Chicago Metropolitan Area,41.87388889,-87.75555556
10987,CHL,Challis Airport,44.52361111,-114.21805556
10990,CHO,Charlottesville Albemarle,38.13972222,-78.45222222
10991,CHP,Circle Hot Springs Airport,65.48583333,-144.61166667
10994,CHS,Charleston AFB/International,32.89861111,-80.04055556
10996,CHU,Chuathbaluk Airport,61.57916667,-159.21555556
10999,CHZ,Chiloquin State,42.57944444,-121.87888889
11001,CIB,Catalina,33.405,-118.41583333
11002,CIC,Chico Regional,39.79527778,-121.85888889
11003,CID,The Eastern Iowa,41.88472222,-91.71083333
11004,CIG,Craig-Moffat,40.49527778,-107.52166667
11007,CIK,Chalkyitsik Airport,66.645,-143.74
11008,CIL,Council Airport,64.89666667,-163.70361111
11009,CIN,Arthur N Neu,42.04666667,-94.78861111
11011,CIR,Cairo Regional,37.06416667,-89.21944444
11013,CIU,Chippewa County International,46.255,-84.47694444
11014,CIV,Chomley Airport,55.24777778,-132.32361111
11021,CJI,Crafton Island Airport,60.50277778,-147.94027778
11026,CJW,Clay Center Municipal,39.38722222,-97.15722222
11027,CKB,North Central West Virginia,39.29777778,-80.2275
11028,CKD,Crooked Creek Airport,61.87111111,-158.13805556
11029,CKE,Pearce Field,38.93472222,-122.62222222
11031,CKM,Fletcher Field,34.29972222,-90.51222222
11034,CKU,Cordova Municipal,60.54361111,-145.72583333
11035,CKV,Outlaw Field,36.62194444,-87.415
11036,CKX,Chicken Airport,64.06666667,-141.95138889
11040,CLC,Clear Lake Metroport,29.55694444,-95.1375
11041,CLD,McClellan-Palomar,33.12833333,-117.28
11042,CLE,Cleveland-Hopkins International,41.41027778,-81.85333333
11043,CLF,Clear Mews,64.30166667,-149.11777778
11044,CLG,New Coalinga Municipal,36.16222222,-120.29472222
11046,CLI,Clintonville Municipal,44.61305556,-88.73083333
11048,CLK,Clinton Regional,35.53833333,-98.93277778
11049,CLL,Easterwood Field,30.58805556,-96.36083333
11050,CLM,William R. Fairchild International,48.12027778,-123.49972222
11053,CLP,Clarks Point Airport,58.83361111,-158.52944444
11055,CLR,Cliff Hatfield Memorial,33.13138889,-115.52138889
11056,CLS,Chehalis Centralia,46.67694444,-122.98277778
11057,CLT,Charlotte Douglas International,35.21305556,-80.95111111
11058,CLU,Columbus Municipal,39.2625,-85.89555556
11066,CMH,John Glenn Columbus International,39.99694444,-82.89222222
11067,CMI,University of Illinois/Willard,40.03833333,-88.27666667
11076,CMX,Houghton County Memorial,47.16833333,-88.48916667
11081,CNE,Fremont County,38.42861111,-105.10694444
11083,CNK,Blosser Municipal,39.55,-97.65194444
11085,CNM,Cavern City Air Terminal,32.3375,-104.26333333
11086,CNO,Chino Airport,33.97472222,-117.63638889
11090,CNW,TSTC Waco,31.63777778,-97.07416667
11092,CNY,Canyonlands Regional,38.76388889,-109.74555556
11093,CO3,Marina Municipal,36.68138889,-121.76166667
11095,COA,Columbia Airport,38.03055556,-120.41444444
11097,COD,Yellowstone Regional,44.52027778,-109.02388889
11098,COE,Coeur d'Alene - Pappy Boyington Field,47.77444444,-116.81944444
11099,COF,Patrick Sfb,28.23944444,-80.6075
11105,COM,Coleman Municipal,31.84111111,-99.40361111
11106,CON,Concord Municipal,43.20777778,-71.5075
11109,COS,City of Colorado Springs Municipal,38.80583333,-104.70083333
11110,COT,Cotulla-La Salle County,28.45583333,-99.21722222
11111,COU,Columbia Regional,38.82138889,-92.21555556
11122,CPR,Casper/Natrona County International,42.90583333,-106.46361111
11123,CPS,Bi-State Parks,38.57138889,-90.15722222
11126,CPX,Benjamin Rivera Noriega,18.31305556,-65.30388889
